t_enc,alpha_grd,timestamp,dataset,k,alpha,tau,thresh,thresh_silent,thresh_silent_chirp,guard_cells,ref_cells,monotonicity_thresh,t_monotonicity,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext,inactive_percentage
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,13,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.48186516764659254,0.6629146141215142,0.5580732014419527,0.5514822249520821,0.7936563401057888,0.6507691808184692,0.526186333117717,81.86150098041239
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,16,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5053355580274376,0.6656761481010692,0.5745285433665014,0.5797529625651112,0.803958684525199,0.6736915552385394,0.5492528434994857,78.46469805889869
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,19,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.527926399703372,0.66643254409662,0.5891484005385612,0.6048113415352814,0.8109400774317507,0.6928698726358741,0.5690608822114647,75.12869704952294
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,22,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5505972244292588,0.6647973939297682,0.6023321008086737,0.6306729404120653,0.8155662652305092,0.711300826350888,0.5887051976249154,71.8402936121163
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,25,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5715010064092377,0.6578454455567972,0.6116409748252568,0.6526254372312258,0.8150328777193937,0.7248433496227265,0.6034023998513615,68.58943060477651
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,28,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5918133905397525,0.6494777466384862,0.6193061606731152,0.6731304936877112,0.8133418514774626,0.7366234563589527,0.616012439811486,65.36964996834863
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,31,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6146273637374862,0.6399836679202685,0.6270492791600726,0.693159001979143,0.8079366035118677,0.746159703583597,0.6268057369850999,62.17551687520721
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,34,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.635236903437683,0.6229035421999856,0.6290097667782776,0.7105666565595123,0.7979158429545523,0.7517122527681451,0.6316714494140606,59.00379673008785
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,37,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6547815032575894,0.6051168933649475,0.6289703153863411,0.728049952402858,0.7845350093205766,0.755237803987197,0.6346359559670501,55.85104751636263
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,40,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6728172837544392,0.5835213711020154,0.6249959105769968,0.7441125257644856,0.7640685304852629,0.7539584958327515,0.6308900783210022,52.71543979000912
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,43,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6906192065257741,0.5583468412217657,0.617478833886281,0.7591974941439368,0.7368183793329749,0.7478405455545077,0.621011666952608,49.594892955317896
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,46,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7092048042798936,0.534343527843217,0.6094801211109812,0.7751044071652462,0.7080786725652974,0.7400770727837636,0.6088328250204317,46.488020458597106
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,49,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.727261110228304,0.5097913239117606,0.5994109723788652,0.7912579751544523,0.6763409540430926,0.7293003006704043,0.5933197073519253,43.393893819780786
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,52,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7454012394724389,0.4851676138129952,0.5877680664250768,0.8064613094819403,0.6444772777885491,0.7164272703951188,0.5749957619312389,40.31194103075287
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,55,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7617212246411461,0.46130927145335127,0.5746202755184777,0.8206486355063771,0.6145696887452038,0.7028140101837955,0.5562303385322704,37.241605643062584
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,150,58,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7777804703639077,0.42061667692303567,0.5459749880594393,0.8344136084042378,0.5642026253665744,0.6732058927529703,0.5159286984537427,34.18288027036606
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,175,1,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.3521012765506658,0.5709733036707458,0.43558869722672866,0.39222774284756023,0.6644977184089305,0.49328694596333195,0.38277065513045727,96.8505643337438
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,175,4,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.41326447375390835,0.6273859844271428,0.498296683896273,0.46667915710123575,0.7383131911415564,0.5718797722852299,0.45138784170323903,91.5662663417811
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,175,7,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.45276749298162267,0.650940727792788,0.5340628857965144,0.515063863308687,0.7724742902085829,0.6180377459796078,0.49442873648472613,87.06709700022734
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,175,10,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.48869921606017325,0.6655400180094322,0.5635727371582406,0.5577663045331238,0.79574733430054,0.6558353517563104,0.5315347992803797,82.8463267916391
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,175,13,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5182873828062922,0.66854401716193,0.5839042108852497,0.593620426920236,0.808749411064291,0.684684102923997,0.560858936944289,78.778905044103
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,175,16,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5463654060066728,0.6697064639723197,0.6017809475207183,0.6253490547848116,0.81701079483697,0.7084458498924957,0.5856750732464522,74.81231218440593
15872,0.0001,1763103123,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4,2.29,40,0.1,175,19,"(0, 0)","(8, 4)",-99999999,0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5712482122993795,0.6613462489185569,0.6130043111946233,0.6526811664574081,0.8164896467850606,0.7254533055427016,0.6044742823338866,70.91771893227825
